AttemptID,CompletionTimestampLocal,UserID,Username,QuestionNumber,QuestionText,AnswerText
1,2025-04-15 21:43:16,833874311395278869,drowsybucket,1,Qual ID foi apresentado para você na hora que tentou entrar na cidade?,3
1,2025-04-15 21:43:16,833874311395278869,drowsybucket,2,O que você faz se outro jogador quebrar as regras do servidor?,Gravo e encaminho para o suporte no dc
1,2025-04-15 21:43:16,833874311395278869,drowsybucket,3,Cite 3 regras importantes do servidor e explique por que são essenciais.,Nao matar sem motivo
1,2025-04-15 21:43:16,833874311395278869,drowsybucket,4,É permitido 'combate aleatório' (RDM) na cidade? Justifique.,nao
1,2025-04-15 21:43:16,833874311395278869,drowsybucket,5,Descreva como você reagiria se fosse assaltado por um criminoso (sem recorrer a metagaming).,mataria ele
1,2025-04-15 21:43:16,833874311395278869,drowsybucket,6,O que é 'powergaming' e como você pode evitá-lo durante suas interações?,nao sei
1,2025-04-15 21:43:16,833874311395278869,drowsybucket,7,"Se um policial devidamente identificado solicitar sua identificação durante uma abordagem RP, qual seria sua reação?",nao sei
1,2025-04-15 21:43:16,833874311395278869,drowsybucket,8,"Descreva brevemente seu personagem: inclua nome, idade aproximada, profissão ou ocupação principal e um defeito notável de personalidade.",nao sei
1,2025-04-15 21:43:16,833874311395278869,drowsybucket,9,Qual é a principal motivação do seu personagem para ter escolhido morar ou permanecer nesta cidade?,tbm nao sei
1,2025-04-15 21:43:16,833874311395278869,drowsybucket,10,"Como seu personagem reagiria ao presenciar uma emergência médica grave, como um tiroteio nas proximidades?",nao sei
1,2025-04-15 21:43:16,833874311395278869,drowsybucket,11,Você encontra uma mala abandonada que parece conter uma grande quantia de dinheiro de origem ilegal. O que seu personagem faz?,"nao seeeeeeeeeeeeeiiiii, roubava"
1,2025-04-15 21:43:16,833874311395278869,drowsybucket,12,Um amigo próximo do seu personagem pede sua ajuda para cometer um ato criminoso. Como seu personagem responde a esse pedido?,ajudo
1,2025-04-15 21:43:16,833874311395278869,drowsybucket,13,"Como você, interpretando seu personagem, reagiria se fosse vítima de um erro claro por parte de um policial (por exemplo, uma prisão considerada injusta)?",a
1,2025-04-15 21:43:16,833874311395278869,drowsybucket,14,Qual procedimento você seguiria para reportar um bug ou um problema técnico que encontrou no servidor?,h
1,2025-04-15 21:43:16,833874311395278869,drowsybucket,15,"Existe algum comando específico que você pode usar dentro do jogo para consultar as regras rapidamente? Se sim, qual?",k
1,2025-04-15 21:43:16,833874311395278869,drowsybucket,16,"Explique, com suas palavras, como geralmente funcionam os sistemas de empregos legais disponíveis no servidor.",l
1,2025-04-15 21:43:16,833874311395278869,drowsybucket,17,Você está ciente e concorda que suas ações e interações RP dentro do servidor podem ser gravadas por membros da staff para fins de análise e avaliação?,l
1,2025-04-15 21:43:16,833874311395278869,drowsybucket,18,"Qual é a sua posição sobre o uso de cheats, hacks, exploits ou qualquer tipo de modificação ilegal que ofereça vantagem injusta?",k
1,2025-04-15 21:43:16,833874311395278869,drowsybucket,19,"Caso receba uma punição (como um banimento), você se compromete a ler atentamente os motivos apresentados pela staff antes de buscar um recurso ou apelação?",morro
